trial,status,filters,kernel_size,dropout,dense_units,lr,score,best_step
0,COMPLETED,16,15,0.30000000000000004,128,0.0005977728042983697,0.8074626326560974,13
1,COMPLETED,16,21,0.2,128,3.069273045576998e-05,0.8351956605911255,13
2,COMPLETED,32,21,0.5,64,0.0008547485565344062,0.868729293346405,4
3,COMPLETED,8,21,0.2,128,9.749332269823055e-05,0.9467703700065613,0
4,COMPLETED,32,21,0.30000000000000004,128,1.385536126653817e-05,0.801322877407074,14
5,COMPLETED,8,27,0.4,512,4.4412650444693204e-05,0.8469879627227783,0
6,COMPLETED,8,15,0.5,128,5.5095138886455844e-05,0.8872183561325073,14
7,COMPLETED,32,27,0.2,128,0.00010277342442932574,0.9551091194152832,0
8,COMPLETED,8,21,0.4,64,0.000382870470449823,0.8114045262336731,6
9,COMPLETED,8,21,0.2,64,1.4690651027379392e-05,1.4375672340393066,12
