trial,status,base_filters,extra_block,dropout,cnn_dense_units,lr,score,best_step
0,COMPLETED,32,False,0.30000000000000004,64,0.0005977728042983697,0.7688502073287964,13
1,COMPLETED,16,True,0.2,128,3.069273045576998e-05,0.7397832870483398,14
2,COMPLETED,32,True,0.5,64,0.0008547485565344062,0.8212303519248962,1
3,COMPLETED,16,True,0.2,64,9.749332269823055e-05,0.7996321320533752,14
4,COMPLETED,32,False,0.30000000000000004,128,1.385536126653817e-05,0.7989833950996399,13
5,COMPLETED,16,True,0.4,256,4.4412650444693204e-05,0.8001313805580139,14
6,COMPLETED,16,False,0.5,128,5.5095138886455844e-05,0.8089103698730469,14
7,COMPLETED,32,True,0.2,64,0.00010277342442932574,0.8224080204963684,13
8,COMPLETED,16,False,0.4,64,0.000382870470449823,0.8051517009735107,14
9,COMPLETED,16,False,0.2,64,1.4690651027379392e-05,0.7517732977867126,13
