trial,status,filters,kernel_size,use_bn,conv_dropout,dropout,tc_dense_units,lr,score,best_step
0,COMPLETED,12,11,False,0.2,0.5,128,0.00012482904754698164,0.8274823427200317,13
1,COMPLETED,8,16,False,0.4,0.4,256,1.5159319577885927e-05,0.7967336773872375,14
2,COMPLETED,24,11,True,0.2,0.30000000000000004,128,0.0007177664122743156,23.530773162841797,4
3,COMPLETED,12,16,False,0.2,0.2,256,0.00023360487671257027,0.8962552547454834,7
4,COMPLETED,24,11,False,0.2,0.5,128,5.5095138886455844e-05,0.8253306150436401,13
5,COMPLETED,24,21,False,0.2,0.4,64,9.824542588158123e-05,0.8207928538322449,14
6,COMPLETED,24,11,True,0.2,0.30000000000000004,64,2.5547058050469482e-05,0.8447871804237366,2
7,COMPLETED,8,16,True,0.30000000000000004,0.5,128,2.4494833732167932e-05,0.9580289721488953,1
8,COMPLETED,12,16,False,0.30000000000000004,0.2,256,0.0008316141310476276,0.951103150844574,7
9,COMPLETED,24,21,False,0.2,0.30000000000000004,256,0.0004511709522511237,29.900781631469727,0
