trial,epoch,loss,mae,val_loss,val_mae,test_loss,test_mae
0,0,61.680664,6.201214,22.552658,4.637204,22.574074,4.649557
0,1,10.304090,2.633743,1.133954,0.835851,1.084079,0.811665
0,2,3.626255,1.580576,1.392164,0.895828,1.358844,0.874773
0,3,1.978748,1.138442,12.165232,3.340037,12.283076,3.367568
0,4,1.855564,1.094011,3.597117,1.618479,3.616404,1.634449
0,5,1.515856,0.992507,1.550912,0.945138,1.518896,0.919487
0,6,1.338184,0.933300,2.882071,1.401987,2.882577,1.403250
0,7,1.312688,0.921495,2.111130,1.141724,2.092894,1.125965
0,8,1.241871,0.927506,1.203008,0.843523,1.149279,0.815602
0,9,1.199165,0.900724,1.489467,0.925581,1.448976,0.898833
0,0,6.403147,2.024537,1.785047,1.129386,1.628057,1.090251
0,1,4.388711,1.671325,2.975317,1.481613,2.773773,1.459503
0,2,3.698119,1.541944,2.768674,1.422341,2.577561,1.397017
0,3,3.645265,1.527510,2.433258,1.322389,2.259001,1.298735
0,4,2.968641,1.380145,2.207875,1.254808,2.048473,1.231160
0,5,2.446175,1.245985,1.816788,1.136645,1.672952,1.098629
0,6,2.072691,1.169714,1.745562,1.115588,1.605107,1.074008
0,7,1.926505,1.119736,1.576619,1.059306,1.449517,1.015534
0,8,1.871013,1.077078,1.337387,0.977000,1.222449,0.930011
0,9,1.734591,1.035605,1.402658,0.999717,1.287822,0.957033
0,10,1.542998,0.988085,1.239117,0.940623,1.138102,0.896209
0,11,1.444085,0.947141,1.347244,0.981863,1.243203,0.943023
0,12,1.346521,0.912759,1.265478,0.954363,1.169048,0.911643
0,13,1.201228,0.874519,1.156378,0.912457,1.068799,0.869213
0,14,1.235990,0.885385,1.213696,0.937382,1.126068,0.896347
0,0,24.222723,3.783126,14.625284,3.693478,14.630187,3.702031
0,1,6.142138,1.949275,25.293741,4.926507,25.203369,4.922956
0,2,4.003634,1.612112,55.537533,7.385841,55.579273,7.392967
0,3,2.517352,1.270252,25.828972,4.984117,25.819603,4.989477
0,4,1.867033,1.111282,47.128643,6.794057,47.126869,6.798372
0,5,1.625002,1.018137,37.069466,6.008895,37.050144,6.010217
0,6,1.541175,0.996363,1.152840,0.829716,1.115747,0.805212
0,7,1.438571,0.976218,2.059778,1.148683,2.032315,1.123758
0,8,1.226685,0.884846,1.959624,1.193125,1.939636,1.209978
0,9,1.229376,0.895981,48.417065,6.890107,48.417503,6.892438
0,10,0.987567,0.811154,16.903660,3.998019,16.913225,4.002968
0,11,1.014873,0.807600,10.714932,3.133349,10.714260,3.137371
0,12,1.011845,0.816822,1.487117,1.021505,1.461971,1.037697
0,13,0.933496,0.791313,34.967449,5.835813,35.176281,5.857332
0,14,0.874701,0.751211,109.388840,10.415614,109.628555,10.429748
0,0,7.543237,2.205490,2.178485,1.160747,2.131034,1.136070
0,1,4.883327,1.778349,1.964977,1.094117,1.913193,1.058064
0,2,3.830411,1.572007,1.163904,0.862800,1.112732,0.837878
0,3,2.839733,1.356436,1.341015,0.896806,1.287546,0.865591
0,4,2.366795,1.242633,1.826133,1.045972,1.771293,1.002179
0,5,2.090750,1.133719,1.726107,1.009154,1.668482,0.967524
0,6,1.958872,1.107695,1.886956,1.060742,1.831261,1.024923
0,7,1.606504,1.013843,2.229072,1.177240,2.171649,1.149536
0,8,1.426123,0.955485,2.046399,1.112310,1.993624,1.087446
0,9,1.221602,0.875625,1.738141,1.003026,1.680401,0.980928
0,10,1.237863,0.893029,1.711514,0.995237,1.650326,0.974992
0,0,15.116015,3.132853,5.187810,2.043300,5.173089,2.055052
0,1,11.225234,2.667252,2.649359,1.403615,2.622787,1.407202
0,2,8.760676,2.341656,1.626833,1.079885,1.596496,1.066826
0,3,7.269453,2.176343,2.511313,1.364413,2.468962,1.361093
0,4,6.997778,2.082719,1.998305,1.208222,1.951424,1.194179
0,5,5.728456,1.876668,1.752867,1.125121,1.703880,1.108743
0,6,5.566436,1.868982,1.736985,1.118876,1.688442,1.104708
0,7,5.333345,1.784191,1.707099,1.108294,1.663334,1.096336
0,8,4.609743,1.699526,1.453198,1.015803,1.415567,1.001941
0,9,4.094134,1.620189,1.767798,1.128550,1.723399,1.118214
0,10,4.106563,1.581942,1.694272,1.103371,1.652574,1.092740
0,11,3.741223,1.524041,1.532407,1.045387,1.498539,1.034933
0,12,3.331522,1.448039,1.826400,1.150926,1.790174,1.141289
0,13,3.166833,1.428029,1.629165,1.080077,1.604536,1.072315
0,14,2.782095,1.325746,1.641739,1.083240,1.619742,1.075135
0,0,36.912075,4.942889,6.600527,2.358853,6.589887,2.376066
0,1,20.914167,3.606533,5.830892,2.193255,5.810718,2.208733
0,2,14.052040,3.004045,5.453835,2.110935,5.389662,2.117008
0,3,11.909472,2.779240,5.869554,2.203589,5.783915,2.205959
0,4,10.814868,2.613208,5.898058,2.208278,5.800891,2.210044
0,5,11.043819,2.675841,5.722639,2.167160,5.627939,2.170160
0,6,10.180412,2.561810,5.311758,2.068095,5.211653,2.070612
0,7,9.024303,2.384559,4.948643,1.976520,4.850934,1.979789
0,8,9.494027,2.458219,4.679252,1.905034,4.579191,1.907281
0,9,7.869525,2.215213,4.851422,1.948660,4.774461,1.956616
0,10,8.424060,2.319808,4.564376,1.875181,4.507614,1.885416
0,11,7.521694,2.201185,4.016251,1.728082,3.998466,1.743988
0,12,6.868916,2.075730,3.912773,1.699021,3.907125,1.715892
0,13,7.126132,2.140790,4.276227,1.796527,4.305284,1.822298
0,14,7.083184,2.129724,4.026495,1.724726,4.071973,1.753931
0,0,42.610897,5.236156,1.056439,0.856706,1.024034,0.836992
0,1,23.121141,3.798196,2.903119,1.480546,2.833613,1.478640
0,2,20.343287,3.556598,1.009808,0.826520,0.985514,0.808177
0,3,13.871742,3.000454,1.084368,0.811119,1.078904,0.803252
0,4,13.162118,2.922407,1.023025,0.802213,1.020842,0.799304
0,5,10.858882,2.633681,1.015393,0.807005,1.012069,0.804444
0,6,9.504423,2.470677,1.039317,0.810199,1.029326,0.804009
0,7,9.588725,2.456511,1.100007,0.821837,1.078686,0.808951
0,8,8.257318,2.280218,1.168283,0.841904,1.129510,0.816926
0,9,8.167536,2.261310,1.112089,0.829830,1.055740,0.798790
0,10,6.459848,2.057062,1.097681,0.828931,1.028458,0.794804
0,0,5.789522,1.924738,1.408703,0.896326,1.355240,0.881518
0,1,3.420578,1.481735,1.613735,0.964264,1.591642,0.950557
0,2,1.780786,1.074207,1.954403,1.080715,1.928325,1.067698
0,3,1.400771,0.932854,1.958380,1.084073,1.911282,1.064279
0,4,1.158364,0.862098,1.900592,1.067357,1.854462,1.046102
0,5,0.896223,0.757154,1.606485,0.961429,1.554839,0.943171
0,6,0.798740,0.712676,1.498688,0.925702,1.441909,0.907765
0,7,0.748496,0.689993,1.344074,0.877341,1.285787,0.859382
0,8,0.718223,0.685441,1.097417,0.814507,1.036802,0.791626
0,9,0.603732,0.629157,1.020469,0.805610,0.966228,0.776055
0,10,0.567823,0.604570,0.981571,0.811279,0.928397,0.779009
0,11,0.505658,0.558037,0.978224,0.811964,0.926112,0.779351
0,12,0.497508,0.558934,0.978450,0.823707,0.936221,0.793198
0,13,0.464256,0.538892,0.958982,0.813706,0.928783,0.787081
0,14,0.423782,0.515279,1.009967,0.847338,0.984190,0.830260
0,0,7.229385,2.112556,12.945147,3.450688,13.010118,3.470399
0,1,2.040396,1.149487,5.457273,2.107430,5.427060,2.116992
0,2,1.269008,0.901720,14.008619,3.603987,14.013212,3.616231
0,3,1.072718,0.833993,4.967570,1.989583,4.934886,1.999260
0,4,1.017420,0.831761,7.618810,2.569745,7.588539,2.579742
0,5,1.022907,0.828660,6.813958,2.408189,6.764540,2.415809
0,6,0.962340,0.799910,6.265697,2.291551,6.202681,2.297432
0,7,0.871456,0.761825,6.223108,2.282939,6.155911,2.288293
0,8,0.868973,0.760709,5.066071,2.016642,4.998792,2.021993
0,9,0.861607,0.752730,4.011249,1.742129,3.950922,1.744738
0,10,0.774457,0.707425,2.682542,1.340721,2.609766,1.319814
0,11,0.843259,0.756775,2.248475,1.193651,2.169194,1.161597
0,12,0.756356,0.713320,1.050512,0.816537,0.955227,0.776004
0,13,0.742164,0.696254,1.725238,1.007365,1.642349,0.970922
0,14,0.744619,0.700518,1.280521,0.862742,1.195143,0.825189
0,0,5.491809,1.823302,5.737869,2.176782,5.575017,2.160796
0,1,4.613774,1.662101,4.865559,1.978133,4.713693,1.966562
0,2,4.867545,1.756026,4.370382,1.857537,4.225526,1.851027
0,3,4.151418,1.595426,4.451494,1.876284,4.304626,1.870085
0,4,4.439386,1.655174,4.463007,1.878634,4.319544,1.872830
0,5,3.597156,1.526878,4.380859,1.858567,4.245352,1.853771
0,6,3.735530,1.510459,4.146873,1.800461,4.029440,1.799491
0,7,3.416252,1.486663,3.989015,1.760383,3.889840,1.762049
0,8,3.160561,1.406693,3.866777,1.728635,3.782657,1.731785
0,9,2.986906,1.348934,3.654369,1.671959,3.580298,1.675599
0,10,3.065077,1.385361,3.537340,1.638732,3.473392,1.643534
0,11,2.662631,1.297609,3.313180,1.576970,3.254150,1.581851
0,12,2.795967,1.324142,3.115985,1.522522,3.058645,1.526792
0,13,2.598228,1.252872,3.116081,1.520874,3.062186,1.526096
0,14,2.332968,1.196105,3.200959,1.542588,3.146449,1.547677
